console,game,rank,publisher,critic_score,units_sold,release_date
GBA,SpongeBob SquarePants: Revenge of the Flying Dutchman,59,THQ,,,2002-09-10
GBA,Final Fantasy Tactics Advance,60,Square Enix,8.9,1180000.0,2003-09-08
GBA,Tony Hawk's Pro Skater 2,61,Activision,8.9,,2001-05-30
GBA,Yu-Gi-Oh! The Sacred Cards (American and Others sales),62,Konami,,,2003-11-04
GBA,LEGO Star Wars: The Video Game,63,Eidos Interactive,7.4,,2005-03-29
GBA,Cars,64,THQ,4.5,,2006-06-06
GBA,Pokémon Mystery Dungeon: Red Rescue Team (US weekly sales),65,Nintendo,,,2006-09-18
GBA,Golden Sun: The Lost Age,66,Nintendo,8.3,1120000.0,2003-04-14
GBA,"WarioWare, Inc.: Mega MicroGame$",67,Nintendo,,1100000.0,2003-05-21
GBA,Dragon Ball Z: The Legacy of Goku II,68,Atari,7.6,,2003-06-17
GBA,Dragon Ball Z: Taiketsu,69,Atari,3.8,,2003-11-24
GBA,Disney's Lilo & Stitch,70,Disney Interactive Studios,8.0,,2002-06-07
GBA,Spider-Man 2,71,Activision,7.0,,2004-06-29
GBA,F-Zero: Maximum Velocity,72,Nintendo,8.7,1050000.0,2001-06-12
GBA,Mario Party Advance,73,Nintendo,,,2005-03-28
GBA,Fire Emblem: The Blazing Blade,74,Nintendo,8.8,,2003-11-03
GBA,Final Fantasy I & II: Dawn of Souls,75,Nintendo,7.1,940000.0,2004-11-29
GBA,Monster Trucks / Quad Desert Fury Double Value!,76,Majesco,,,2005-04-25
GBA,2 Games in 1 Double Pack: Finding Nemo / Monsters Inc.,77,THQ,,,2005-06-08
GBA,Teenage Mutant Ninja Turtles,78,Konami,,,2003-10-31
GBA,Madagascar,79,Activision,5.5,,2005-05-23
GBA,Classic NES Series: The Legend of Zelda,80,Nintendo,,,2004-06-02
GBA,Fire Emblem: The Sacred Stones,81,Nintendo,8.4,,2005-05-23
GBA,Metroid: Zero Mission,82,Nintendo,8.9,,2004-02-09
GBA,Lizzie McGuire 2: Lizzie Diaries,83,Disney Interactive Studios,,,2004-10-18
GBA,Secret Agent Barbie: Royal Jewels Mission,84,VU Games,,,2002-10-08
GBA,Rayman Advance,85,Ubisoft,8.4,770000.0,2001-06-10
GBA,Star Wars Episode II: Attack of the Clones,86,THQ,,,2002-05-30
GBA,Donkey Kong Country 3,87,Nintendo,7.5,,2005-11-07
GBA,Mega Man Battle Network 6: Cybeast Falzar / Gregar,88,Capcom,,,2006-06-13
GBA,That's So Raven,89,Buena Vista,,,2004-10-12
GBA,Yu-Gi-Oh! Dungeon Dice Monsters,90,Konami,,,2003-02-12
GBA,The Lord of the Rings: The Two Towers,91,Electronic Arts,,,2002-11-11
GBA,WarioWare: Twisted!,92,Nintendo,,,2005-05-23
GBA,Classic NES Series: Donkey Kong,93,Nintendo,,,2004-06-02
GBA,Beyblade VForce: Ultimate Blader Jam,94,Atari,,,2003-11-18
GBA,Star Wars Episode III: Revenge of the Sith,95,Ubisoft,,,2005-05-04
GBA,Super Monkey Ball Jr.,96,THQ,,,2002-11-19
GBA,Scooby-Doo 2: Monsters Unleashed,97,THQ,,,2004-03-16
GBA,F-14 Tomcat,98,Majesco,6.9,,2001-09-02
GBA,Advance Wars,99,Nintendo,9.4,,2001-09-09
GBA,Classic NES Series: Zelda II: The Adventure of Link,100,Nintendo,6.6,,2004-10-25
GBA,Disney's Chicken Little,101,Buena Vista,7.9,,2005-10-20
GBA,Mario Pinball Land,102,Nintendo,,,2004-10-04
GBA,Shark Tale,103,Activision,,,2004-09-27
GBA,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",104,Buena Vista,6.8,,2005-11-14
GBA,Dragon Quest Monsters: Caravan Heart,105,Unknown,,,2003-03-29
GBA,Strawberry Shortcake: Summertime Adventure,106,Majesco,,,2004-11-16
GBA,Shrek: Hassle at the Castle,107,TDK Mediactive,,,2002-10-10
