Pos,Game,Game.1,Console,Publisher,VGChartz Score,Critic Score,User Score,Total Shipped,Release Date,Last Update,Unnamed: 11_level_2,Console_Scraped
164,Dragon Quest Builders: Revive Alefgard,Dragon Quest Builders: Revive Alefgard,,Square Enix,,8.0,,,09th Feb 18,04th Feb 18,,NS
165,Fate/Extella: The Umbral Star,Fate/Extella: The Umbral Star,,Xseed Games,,8.0,,,25th Jul 17,02nd Jan 18,,NS
166,Disgaea 5 Complete,Disgaea 5 Complete,,NIS America,,9.0,,0.20m,23rd May 17,25th Feb 18,,NS
167,Shiren the Wanderer: The Mystery Dungeon of Serpentcoil Island,Shiren the Wanderer: The Mystery Dungeon of Serpentcoil Island Read the review,,Spike Chunsoft,8.0,,,0.20m,27th Feb 24,15th Jan 24,,NS
168,Valkyria Chronicles 4,Valkyria Chronicles 4,,Sega,,8.6,,,25th Sep 18,11th Sep 18,,NS
169,Street Fighter 30th Anniversary Collection,Street Fighter 30th Anniversary Collection,,Capcom,,8.5,,,29th May 18,07th Nov 18,,NS
170,Sega Genesis Classics,Sega Genesis Classics,,Sega,,,,,07th Dec 18,22nd Sep 18,,NS
171,Bendy and the Ink Machine,Bendy and the Ink Machine,,Rooster Teeth Games,,,,,20th Nov 18,19th Dec 18,,NS
172,Katamari Damacy Reroll,Katamari Damacy Reroll,,Bandai Namco Entertainment,,8.8,,,07th Dec 18,13th Sep 18,,NS
173,Axiom Verge,Axiom Verge,,Thomas Happ Games,,7.5,,,21st Nov 17,12th Jan 18,,NS
174,Sports Party,Sports Party,,Ubisoft,,,,,30th Oct 18,02nd Nov 18,,NS
175,Harvest Moon: Light of Hope,Harvest Moon: Light of Hope,,Natsume,,,,,29th May 18,14th Jun 18,,NS
176,Xenoblade Chronicles 2: Torna ~ The Golden Country,Xenoblade Chronicles 2: Torna ~ The Golden Country,,Nintendo,,7.5,,,21st Sep 18,26th Sep 18,,NS
177,Cave Story+,Cave Story+,,Nicalis,,,,,20th Jun 17,,,NS
178,Moonlighter,Moonlighter Read the review,,Merge Games,7.0,8.3,,0.15m,09th Nov 18,22nd Feb 19,,NS
179,Hatsune Miku: Project Diva MegaMix,Hatsune Miku: Project Diva MegaMix Read the review,,Sega,7.0,,,0.15m,15th May 20,24th Jan 20,,NS
180,RiME,RiME,,Grey Box,,4.5,,,21st Nov 17,11th Aug 18,,NS
181,Gear.Club Unlimited,Gear.Club Unlimited,,Microids,,6.1,,,21st Nov 17,07th Jan 18,,NS
182,Has-Been Heroes,Has-Been Heroes,,GameTrust,,4.8,,,28th Mar 17,,,NS
183,Dragon Quest Builders 2,Dragon Quest Builders 2,,Square Enix,,,,,12th Jul 19,06th Apr 19,,NS
184,South Park: The Fractured But Whole,South Park: The Fractured But Whole,,Ubisoft,,9.5,9.5,,24th Apr 18,06th Apr 18,,NS
185,NBA 2K Playgrounds 2,NBA 2K Playgrounds 2,,2K Games,,,,,09th Nov 18,11th Sep 18,,NS
186,Nickelodeon Kart Racers,Nickelodeon Kart Racers,,GameMill Entertainment,,2.0,,,23rd Oct 18,21st Sep 20,,NS
